id,title,year,rank_afi,rank_imdb,rank_actor,score_rotten,score_imdb,score_meta
1,Citizen Kane,1941,1,,,,,
2,The Godfather,1972,2,,,,,
3,Casablanca,1942,3,,,,,
4,Raging Bull,1980,4,,,,,
5,Singin' In The Rain,1952,5,,,,,
6,Gone With The Wind,1939,6,,,,,
7,Lawrence Of Arabia,1962,7,,,,,
8,Schindler's List,1993,8,,,,,
9,Vertigo,1958,9,,,,,
10,The Wizard Of Oz,1939,10,,,,,
11,City Lights,1931,11,,,,,
12,The Searchers,1956,12,,,,,
13,Star Wars,1977,13,,,,,
14,Psycho,1960,14,,,,,
15,2001: A Space Odyssey,1968,15,,,,,
16,Sunset Blvd,1950,16,,,,,
17,The Graduate,1967,17,,,,,
18,The General,1927,18,,,,,
19,On The Waterfront,1954,19,,,,,
20,It's a Wonderful Life,1946,20,,,,,
21,Chinatown,1974,21,,,,,
22,Some Like It Hot,1959,22,,,,,
23,The Grapes Of Wrath,1940,23,,,,,
24,E.T. The Extra-Terrestrial,1982,24,,,,,
25,To Kill A Mockingbird,1962,25,,,,,
26,Mr Smith Goes To Washington,1939,26,,,,,
27,High Noon,1952,27,,,,,
28,All About Eve,1950,28,,,,,
29,Double Indemnity,1944,29,,,,,
30,Apocalypse Now,1979,30,,,,,
31,The Maltese Falcon,1941,31,,,,,
32,The Godfather Part Ii,1974,32,,,,,
33,One Flew Over The Cuckoo'S Nest,1975,33,,,,,
34,Snow White And The Seven Dwarfs,1937,34,,,,,
35,Annie Hall,1977,35,,,,,
36,The Bridge On The River Kwai,1957,36,,,,,
37,The Best Years Of Our Lives,1946,37,,,,,
38,The Treasure Of The Sierra Madre,1948,38,,,,,
39,Dr Strangelove,1964,39,,,,,
40,The Sound Of Music,1965,40,,,,,
41,King Kong,1933,41,,,,,
42,Bonnie And Clyde,1967,42,,,,,
43,Midnight Cowboy,1969,43,,,,,
44,The Philadelphia Story,1940,44,,,,,
45,Shane,1953,45,,,,,
46,It Happened One Night,1934,46,,,,,
47,A Streetcar Named Desire,1951,47,,,,,
48,Rear Window,1954,48,,,,,
49,Intolerance,1916,49,,,,,
50,The Lord Of The Rings: The Fellowship Of The Ring,2001,50,,,,,
51,West Side Story,1961,51,,,,,
52,Taxi Driver,1976,52,,,,,
53,The Deer Hunter,1978,53,,,,,
54,M*A*S*H,1970,54,,,,,
55,North By Northwest,1959,55,,,,,
56,Jaws,1975,56,,,,,
57,Rocky,1976,57,,,,,
58,The Gold Rush,1925,58,,,,,
59,Nashville,1975,59,,,,,
60,Duck Soup,1933,60,,,,,
61,Sullivan'S Travels,1941,61,,,,,
62,American Graffiti,1973,62,,,,,
63,Cabaret,1972,63,,,,,
64,Network,1976,64,,,,,
65,The African Queen,1951,65,,,,,
66,Raiders Of The Lost Ark,1981,66,,,,,
67,Who'S Afraid Of Virginia Woolf?,1966,67,,,,,
68,Unforgiven,1992,68,,,,,
69,Tootsie,1982,69,,,,,
70,A Clockwork Orange,1971,70,,,,,
71,Saving Private Ryan,1998,71,,,,,
72,The Shawshank Redemption,1994,72,,,,,
73,Butch Cassidy And The Sundance Kid,1969,73,,,,,
74,The Silence Of The Lambs,1991,74,,,,,
75,In The Heat Of The Night,1967,75,,,,,
76,Forrest Gump,1994,76,,,,,
77,All The President'S Men,1976,77,,,,,
78,Modern Times,1936,78,,,,,
79,The Wild Bunch,1969,79,,,,,
80,The Apartment,1960,80,,,,,
81,Spartacus,1960,81,,,,,
82,Sunrise,1927,82,,,,,
83,Titanic,1997,83,,,,,
84,Easy Rider,1969,84,,,,,
85,A Night At The Opera,1935,85,,,,,
86,Platoon,1986,86,,,,,
87,12 Angry Men,1957,87,,,,,
88,Bringing Up Baby,1938,88,,,,,
89,The Sixth Sense,1999,89,,,,,
90,Swing Time,1936,90,,,,,
91,Sophie's Choice,1982,91,,,,,
92,Goodfellas,1990,92,,,,,
93,The French Connection,1971,93,,,,,
94,Pulp Fiction,1994,94,,,,,
95,The Last Picture Show,1971,95,,,,,
96,Do The Right Thing,1989,96,,,,,
97,Blade Runner,1982,97,,,,,
98,Yankee Doodle Dandy,1942,98,,,,,
99,Toy Story,1995,99,,,,,
100,Ben-Hur,1959,100,,,,,
